park,year,PTP,species,sex,number,survey_class,ecoregion,latitude,longitude,plot,transect,point,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,elev_m,jdate,radius,sound,obsnum
KATM,2005,184810304,AMRO,M,2,FIVE,AP,59.07006064,-154.9127523,18481,3,4,0.0,0.0,0.955271566,0.044728435,0.0,0.0,0.0,0.0,289.3033263,137,50.0,0.18,2
LACL,2004,208800104,AMPI,M,2,FIVE,AR,60.15261931,-153.6105499,20880,1,4,0.0,0.0,0.0,0.596214511,0.0,0.0,0.0,0.403785489,909.91944,141,150.0,0.0,1
KATM,2005,182360203,DEJU,M,2,FIVE,AP,58.90640616,-155.7500411,18236,2,3,0.0,0.0,0.231746032,0.101587302,0.015873016,0.142857143,0.507936508,0.0,107.9794105,134,150.0,0.65,2
LACL,2006,204060201,FOSP,U,2,FIVE,AR,60.01891882,-152.8694779,20406,2,1,0.006349206,0.0,0.977777778,0.0,0.0,0.0,0.015873016,0.0,366.1931368,155,150.0,0.0,1
LACL,2004,218350105,ROPT,U,2,FIVE,LH,60.46074646,-153.9178091,21835,1,5,0.0,0.0,0.289389068,0.710610932,0.0,0.0,0.0,0.0,628.0476571,140,150.0,0.0,2
KATM,2006,158520101,GCSP,U,2,FIVE,AP,58.11542524,-154.4860892,15852,1,1,0.0,0.0,0.87012987,0.016233766,0.0,0.0,0.0,0.113636364,339.3294857,151,150.0,0.8,1
KATM,2006,158520102,FOSP,U,2,FIVE,AP,58.11448261,-154.4948846,15852,1,2,0.0,0.0,0.650641026,0.041666667,0.0,0.0,0.0,0.307692308,365.7760421,151,150.0,0.0,1
LACL,2004,218350107,WIPT,U,2,FIVE,LH,60.45704694,-153.9346339,21835,1,7,0.0,0.0,0.406349206,0.501587302,0.0,0.003174603,0.088888889,0.0,614.46156,140,150.0,0.0,2
KATM,2005,168000302,SAVS,U,2,FIVE,BBL,58.34813654,-155.9968311,16800,3,2,0.0,0.0,0.691823899,0.308176101,0.0,0.0,0.0,0.0,408.5603368,132,150.0,0.4,2
LACL,2004,232670105,AMRO,U,5,FIVE,LH,60.98368937,-154.4837752,23267,1,5,0.0,0.0,0.396825397,0.580952381,0.022222222,0.0,0.0,0.0,735.1936421,146,150.0,0.0,2
KATM,2006,163310302,ROPT,MF,2,FIVE,AP,58.29168946,-154.4014526,16331,3,2,0.0,0.0,0.100946372,0.211356467,0.0,0.0,0.0,0.687697161,502.2462316,150,150.0,0.0,1
KATM,2005,168050301,WIPT,MF,2,FIVE,AP,58.41065347,-155.0764204,16805,3,1,0.0,0.0,0.054487179,0.246794872,0.0,0.0,0.0,0.698717949,616.03128,141,150.0,0.2,2
KATM,2005,184810101,ROPT,MF,2,FIVE,AP,59.13564141,-154.8143635,18481,1,1,0.0,0.0,0.025316456,0.405063291,0.0,0.0,0.0,0.569620253,747.26292,136,50.0,0.0,2
KATM,2005,170390404,DEJU,MF,2,FIVE,AP,58.4114635,-155.9572256,17039,4,4,0.0,0.0,0.458860759,0.003164557,0.344936709,0.041139241,0.151898734,0.0,160.73628,145,150.0,1.0,2
LACL,2004,232740203,DEJU,F,1,FIVE,AR,61.04707232,-153.2792309,23274,2,3,0.045016077,0.028938907,0.411575563,0.0,0.025723473,0.032154341,0.45659164,0.0,454.03008,148,50.0,0.3,1
KATM,2005,175250116,ROPT,F,1,FIVE,AP,58.73820852,-154.7826366,17525,1,16,0.0,0.0,0.101587302,0.898412698,0.0,0.0,0.0,0.0,837.7989474,140,50.0,0.0,2
LACL,2004,206380102,AMPI,F,1,FIVE,AR,60.01029585,-154.1178282,20638,1,2,0.0,0.0,0.0,0.584664537,0.0,0.0,0.0,0.415335463,996.9526737,140,150.0,0.0,1
KATM,2005,177610202,ROPT,F,1,FIVE,AP,58.7677093,-155.2675953,17761,2,2,0.0,0.0,0.107936508,0.704761905,0.0,0.0,0.0,0.187301587,815.8693895,136,150.0,0.0,1
KATM,2005,168090109,AMPI,F,1,FIVE,AP,58.53651102,-154.4279654,16809,1,9,0.0,0.0,0.439873418,0.471518987,0.0,0.0,0.0,0.088607595,409.956,141,50.0,0.0,2
LACL,2004,206380203,DEJU,F,1,FIVE,AR,59.97301533,-154.0645081,20638,2,3,0.0,0.0,0.867088608,0.0,0.0,0.018987342,0.113924051,0.0,455.7485714,140,150.0,0.0,1
KATM,2005,184760112,AMRO,F,1,FIVE,AP,58.96269081,-155.7202057,18476,1,12,0.0,0.0,0.364217252,0.265175719,0.0,0.019169329,0.3514377,0.0,138.2829474,134,50.0,0.0,2
