park,year,PTP,ecoregion,latitude,longitude,plot,transect,point,water,wetland,shrub,dshrub,dec,mixed,spruce,baresnow,elev_m,jdate,radius,sound,obsnum,AMPI,AMRO,ATSP,DEJU,FOSP,GCSP,HETH,OCWA,ROPT,SAVS,WCSP,WIPT,WISN,WIWA,YRWA
LACL,2004,206380206,AR,59.96801024,-154.0375842,20638,2,6,0.0,0.0,0.987138264,0.0,0.0,0.012861736,0.0,0.0,484.7122105,140,150.0,0.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
LACL,2004,206380204,AR,59.97007647,-154.0574126,20638,2,4,0.047468354,0.003164557,0.851265823,0.0,0.0,0.015822785,0.082278481,0.0,459.7230667,140,50.0,0.0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
LACL,2004,206380205,AR,59.97009767,-154.0475156,20638,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,480.3648,140,150.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LACL,2004,206380203,AR,59.97301533,-154.0645081,20638,2,3,0.0,0.0,0.867088608,0.0,0.0,0.018987342,0.113924051,0.0,455.7485714,140,150.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380202,AR,59.97335295,-154.073903,20638,2,2,0.0,0.0,0.761290323,0.0,0.0,0.016129032,0.222580645,0.0,449.072,140,50.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380201,AR,59.97423682,-154.0829513,20638,2,1,0.0,0.0,0.667721519,0.0,0.0,0.0,0.332278481,0.0,428.04588,140,150.0,0.35,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750408,LH,60.00882022,-154.5711067,20875,4,8,0.0,0.0,0.658146965,0.0,0.0,0.166134185,0.17571885,0.0,308.3269714,139,150.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,208750409,LH,60.00994164,-154.5622029,20875,4,9,0.0,0.0,0.66984127,0.0,0.019047619,0.257142857,0.053968254,0.0,303.2599579,139,150.0,0.25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380101,AR,60.01025512,-154.1087382,20638,1,1,0.0,0.0,0.0,0.182389937,0.0,0.0,0.0,0.817610063,1056.902021,140,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380102,AR,60.01029585,-154.1178282,20638,1,2,0.0,0.0,0.0,0.584664537,0.0,0.0,0.0,0.415335463,996.9526737,140,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380104,AR,60.01044773,-154.1359591,20638,1,4,0.0,0.0,0.028391167,0.67192429,0.0,0.0,0.0,0.299684543,887.3889143,140,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,206380103,AR,60.01050993,-154.1269427,20638,1,3,0.0,0.0,0.07028754,0.607028754,0.0,0.0,0.0,0.322683706,921.0886667,140,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208750407,LH,60.01251438,-154.5765283,20875,4,7,0.003154574,0.0,0.488958991,0.0,0.031545741,0.135646688,0.340694006,0.0,333.0157714,139,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
LACL,2004,208750410,LH,60.01366781,-154.5572352,20875,4,10,0.0,0.0,0.512738854,0.0,0.041401274,0.321656051,0.124203822,0.0,321.1285714,139,150.0,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
LACL,2004,208750406,LH,60.01680901,-154.5799521,20875,4,6,0.003194888,0.047923322,0.559105431,0.0,0.0,0.038338658,0.3514377,0.0,343.4950857,139,50.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208750411,LH,60.01747881,-154.5623999,20875,4,11,0.0,0.009493671,0.544303797,0.0,0.0,0.085443038,0.360759494,0.0,335.4106286,139,150.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
LACL,2004,208750405,LH,60.02151277,-154.5821629,20875,4,5,0.0,0.0,0.896440129,0.0,0.01618123,0.0,0.087378641,0.0,355.1645714,139,150.0,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
LACL,2004,208750412,LH,60.02203471,-154.5639584,20875,4,12,0.0,0.0,0.659235669,0.0,0.0,0.0,0.340764331,0.0,345.8677895,139,50.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750404,LH,60.02609373,-154.5838884,20875,4,4,0.0,0.035369775,0.697749196,0.0,0.0,0.041800643,0.225080386,0.0,350.2829333,139,150.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
LACL,2004,208750413,LH,60.02666655,-154.5642161,20875,4,13,0.0,0.0,0.987261147,0.0,0.0,0.0,0.012738854,0.0,355.56444,139,150.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208750103,AR,60.02705405,-154.5368935,20875,1,3,0.0,0.0,0.637820513,0.349358974,0.0,0.0,0.012820513,0.0,396.7854316,138,150.0,0.15,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750102,AR,60.02850453,-154.5281362,20875,1,2,0.0,0.0,0.860759494,0.044303797,0.069620253,0.0,0.025316456,0.0,389.4702316,138,150.0,0.15,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
LACL,2004,208750403,LH,60.03061468,-154.5848232,20875,4,3,0.0,0.0,0.336507937,0.0,0.025396825,0.111111111,0.526984127,0.0,336.1944,139,150.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208750101,AR,60.03065156,-154.5199472,20875,1,1,0.0,0.0,0.461783439,0.066878981,0.108280255,0.187898089,0.175159236,0.0,470.58072,138,150.0,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750402,LH,60.03506899,-154.5807189,20875,4,2,0.0,0.0,0.878594249,0.0,0.0,0.083067093,0.038338658,0.0,341.9535158,139,150.0,0.3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
LACL,2004,208750401,AR,60.03675442,-154.5723316,20875,4,1,0.0,0.0,0.946031746,0.053968254,0.0,0.0,0.0,0.0,363.5782737,139,150.0,0.0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
LACL,2004,208750305,AR,60.03840641,-154.556723,20875,3,5,0.0,0.0,0.853968254,0.146031746,0.0,0.0,0.0,0.0,449.0865143,138,150.0,0.2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LACL,2004,208750303,AR,60.04685889,-154.5442525,20875,3,3,0.0,0.0,0.826923077,0.173076923,0.0,0.0,0.0,0.0,585.0466667,138,150.0,0.3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750203,AR,60.05243436,-154.461549,20875,2,3,0.0,0.0,0.659235669,0.340764331,0.0,0.0,0.0,0.0,429.6236211,138,150.0,0.15,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750202,AR,60.05498816,-154.4692425,20875,2,2,0.0,0.0,0.935483871,0.064516129,0.0,0.0,0.0,0.0,430.5662857,138,150.0,0.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,208750201,AR,60.05826163,-154.4802668,20875,2,1,0.0,0.0,0.940063091,0.059936909,0.0,0.0,0.0,0.0,468.8465684,138,150.0,0.0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
LACL,2004,211150206,AR,60.11501793,-154.3911908,21115,2,6,0.0,0.0,0.304761905,0.0,0.13015873,0.057142857,0.507936508,0.0,501.2034947,138,150.0,0.8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,211150205,AR,60.11843825,-154.384489,21115,2,5,0.0,0.0,0.753205128,0.0,0.16025641,0.0,0.086538462,0.0,434.0932571,138,50.0,0.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
LACL,2004,211150209,AR,60.11906354,-154.4174042,21115,2,9,0.0,0.0,0.442675159,0.006369427,0.0,0.095541401,0.455414013,0.0,440.1151579,138,150.0,0.4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,211150204,AR,60.12096849,-154.3769733,21115,2,4,0.0,0.0,0.747603834,0.214057508,0.0,0.0,0.038338658,0.0,544.5034286,138,150.0,0.68,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,211150203,AR,60.12323094,-154.3690902,21115,2,3,0.0,0.0,0.509493671,0.462025316,0.0,0.0,0.028481013,0.0,626.5404632,138,150.0,0.15,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
LACL,2004,211150202,AR,60.12459811,-154.3604026,21115,2,2,0.0,0.0,0.398734177,0.601265823,0.0,0.0,0.0,0.0,699.02832,138,150.0,0.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,211150201,AR,60.1271193,-154.3528908,21115,2,1,0.0,0.0,0.182108626,0.437699681,0.0,0.047923323,0.063897764,0.268370607,753.3372632,138,150.0,0.05,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,208800111,AR,60.14089999,-153.6238512,20880,1,11,0.00955414,0.0,0.579617834,0.318471338,0.0,0.0,0.025477707,0.066878981,582.8211429,141,150.0,0.0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
LACL,2004,208800110,AR,60.14391311,-153.632784,20880,1,10,0.0,0.0,0.779552716,0.204472843,0.0,0.0,0.0,0.015974441,590.4136421,141,150.0,0.35,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LACL,2004,208800107,AR,60.14450387,-153.6065992,20880,1,7,0.0,0.0,0.028846154,0.134615385,0.0,0.0,0.0,0.836538462,719.16036,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208800108,AR,60.14538967,-153.6155548,20880,1,8,0.0,0.0,0.507886435,0.195583596,0.0,0.0,0.0,0.296529968,649.94028,141,150.0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
LACL,2004,208800109,AR,60.1460526,-153.6247274,20880,1,9,0.0,0.0,0.775316456,0.129746835,0.0,0.0,0.0,0.094936709,646.7053895,141,150.0,0.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
LACL,2004,208800106,AR,60.14637589,-153.5981037,20880,1,6,0.0,0.0,0.0,0.719242902,0.0,0.0,0.0,0.280757098,833.3994,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208800105,AR,60.1503474,-153.6026213,20880,1,5,0.0,0.0,0.0,0.428115016,0.0,0.0,0.0,0.571884984,887.5945333,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208800104,AR,60.15261931,-153.6105499,20880,1,4,0.0,0.0,0.0,0.596214511,0.0,0.0,0.0,0.403785489,909.91944,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208800103,AR,60.15609395,-153.6166979,20880,1,3,0.0,0.0,0.0,0.533762058,0.0,0.0,0.0,0.466237942,903.4753263,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,208800101,AR,60.15935887,-153.6283719,20880,1,1,0.028571429,0.0,0.0,0.438095238,0.0,0.0,0.0,0.533333334,857.15856,141,150.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LACL,2004,208800102,AR,60.16055563,-153.6195232,20880,1,2,0.0,0.0,0.0,0.126984127,0.0,0.0,0.0,0.873015873,922.3889684,141,150.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,211150302,LH,60.16683544,-154.3815598,21115,3,2,0.0,0.0,0.332278481,0.0,0.0,0.056962025,0.610759494,0.0,170.4594,137,150.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,211150301,LH,60.17141288,-154.3819099,21115,3,1,0.337620579,0.0,0.083601286,0.0,0.0,0.0,0.578778135,0.0,96.99897143,137,150.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,211150104,LH,60.17211453,-154.3475698,21115,1,4,0.0,0.0,0.0,0.0,0.205047319,0.331230284,0.463722397,0.0,187.43676,137,50.0,0.6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
LACL,2004,211150101,LH,60.17216465,-154.3747648,21115,1,1,0.0,0.0,0.006430868,0.0,0.019292605,0.122186495,0.852090032,0.0,124.4225684,137,150.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LACL,2004,211150402,LH,60.17747509,-154.3489674,21115,4,2,0.0,0.0,0.03514377,0.0,0.134185304,0.277955272,0.552715655,0.0,152.4,137,50.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570206,LH,60.26581289,-153.8896197,21357,2,6,0.083067093,0.0,0.057507987,0.009584665,0.076677316,0.121405751,0.552715655,0.099041534,100.4235789,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570208,LH,60.265889,-153.8702551,21357,2,8,0.0,0.0,0.034920635,0.0,0.019047619,0.082539683,0.863492063,0.0,133.1540571,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570207,LH,60.26731158,-153.8790002,21357,2,7,0.0,0.0,0.064516129,0.0,0.132258065,0.151612903,0.651612903,0.0,123.2154,143,150.0,0.65,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
LACL,2004,213570205,LH,60.2682962,-153.89727,21357,2,5,0.0,0.0,0.015974441,0.0,0.293929712,0.063897764,0.626198083,0.0,111.4124211,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570204,LH,60.27107455,-153.9046858,21357,2,4,0.0,0.0,0.0,0.0,0.092948718,0.134615385,0.772435897,0.0,122.54484,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570210,AR,60.27140144,-153.8889744,21357,2,10,0.0,0.0,0.105769231,0.016025641,0.477564103,0.198717949,0.201923077,0.0,206.3496,143,50.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570209,AR,60.27195498,-153.8796011,21357,2,9,0.0,0.0,0.234177215,0.003164557,0.462025316,0.275316456,0.025316456,0.0,205.93812,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570203,LH,60.27328813,-153.9127324,21357,2,3,0.0,0.0,0.006329114,0.0,0.186708861,0.341772152,0.465189873,0.0,132.2832,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570202,LH,60.27386866,-153.9219224,21357,2,2,0.015873016,0.0,0.041269841,0.0,0.073015873,0.053968254,0.79047619,0.025396825,108.0435789,143,50.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570211,AR,60.27421458,-153.8960421,21357,2,11,0.0,0.0,0.063897764,0.0,0.290734824,0.437699681,0.207667732,0.0,202.25385,143,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570201,LH,60.27619489,-153.9306845,21357,2,1,0.0,0.0,0.0,0.0,0.03525641,0.112179487,0.852564103,0.0,133.22808,143,50.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570109,LH,60.28090166,-153.9353453,21357,1,9,0.0,0.0,0.034700315,0.0,0.0,0.085173502,0.880126183,0.0,141.3951158,142,50.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LACL,2004,213570108,LH,60.28241954,-153.9439184,21357,1,8,0.0,0.0,0.0,0.0,0.080128205,0.108974359,0.807692308,0.003205128,116.1127579,142,50.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570106,AR,60.28395317,-153.927157,21357,1,6,0.0,0.0,0.092651757,0.0,0.003194888,0.313099042,0.591054313,0.0,203.8773333,142,50.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570105,AR,60.28980358,-153.9296421,21357,1,5,0.025316456,0.0,0.0,0.0,0.148734177,0.515822785,0.310126582,0.0,232.0205333,142,50.0,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LACL,2004,213570104,AR,60.29431857,-153.9286449,21357,1,4,0.0,0.0,0.253968254,0.0,0.466666667,0.244444444,0.034920635,0.0,284.9398737,142,50.0,0.35,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
LACL,2004,213570103,AR,60.29826595,-153.9328738,21357,1,3,0.0,0.0,0.406349206,0.0,0.384126984,0.149206349,0.06031746,0.0,355.15296,142,50.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
LACL,2004,213570102,AR,60.30276124,-153.9327224,21357,1,2,0.0,0.0,0.440514469,0.0,0.430868167,0.080385852,0.048231511,0.0,406.25268,142,150.0,0.6,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
LACL,2004,213570101,AR,60.30535469,-153.9253433,21357,1,1,0.0,0.0,0.571884984,0.0,0.236421725,0.060702875,0.130990415,0.0,520.446,142,150.0,0.7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
LACL,2004,215950210,LH,60.33438507,-154.1448264,21595,2,10,0.034810127,0.0,0.0,0.0,0.047468354,0.091772152,0.825949367,0.0,99.5934,139,50.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
